3790	Сведения по используемым спутниковым ПРМ на сети АО "Казтелерадио"  в 3 х областях																	
																		
	"Наименование ОДРТ, ДРТ"	Наименование района	Наименование РТС	" № ТВК, мгц "	Программа	Стандарт вещания	Тип приемника 	"U/A, электронный номер ПРОВЕРИТЬ,  ВНЕСТИ  ИЗМЕНЕНИЯ ИЛИ ДОПОЛНИТЬ  ."	"S/N, серийный номер."	Назначение 	Принадлежность ПРМ	"Основная спутниковая антенна, тип антенны, размер м."	"Наличие резервной спутниковой антенны, тип антенны, размер м."	Примечание 	Прием с KasSat 2			
21	Акмолинская ОДРТ:	Сандыктауский	Белгородское	12	Евразия	DigiCipher-II	DSR-4400	000-03137-99346-155	025-40781-63003-564	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."			нет			
22	Акмолинская ОДРТ:	Сандыктауский	Белгородское	40	Казахстан	DigiCipher-II	DSR-4400	000-03137-99618-019	025-40781-09003-497	Основной 	ПРМ ТРК			"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
23	Акмолинская ОДРТ:	Сандыктауский	Белгородское	26	Хабар	DigiCipher-II	DSR 402	000-03086-23063-030	070-74740-51018-400	Основной 	ПРМ АО "Казтелерадио"				нет			
24	Акмолинская ОДРТ:	Ерейментауский	Бестобе	26	Евразия	DigiCipher-II	DSR-4400	000-03137-28625-234	025-40171-96000-096	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."			нет			
25	Акмолинская ОДРТ:	Ерейментауский	Бестобе	21	24Kz	DigiCipher-II	DSR205K	000-03454-56494-085	201-94762-30017-354	Основной 	ПРМ АО "Казтелерадио"				нет			
26	Акмолинская ОДРТ:	Ерейментауский	Бестобе	2	Казахстан	DigiCipher-II	DSR-4400	000-03137-39470-012	025-40171-90000-061	Основной 	ПРМ АО "Казтелерадио"			"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
27	Акмолинская ОДРТ:	Ерейментауский	Бестобе	9	Хабар	DigiCipher-II	DSR-4400	000-03137-28631-134	025-40171-83000-054	Основной 	ПРМ АО "Казтелерадио"				нет			
28	Акмолинская ОДРТ:	Сандыктауский  	БОГОРОДКА	43	Казахстан	DigiCipher-II	DSR205K	000-03454-52718-068	201-94762-02001-657	Основной 	ПРМ АО "Казтелерадио"	"офсетная d 1,2 м"		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
29	Акмолинская ОДРТ:	Сандыктауский  	БОГОРОДКА	48	Хабар	DigiCipher-II	DSR205K	000-03454-52810-252	201-94762-02003-293	Основной 	ПРМ АО "Казтелерадио"				нет			
30	Акмолинская ОДРТ:	Сандыктауский	Васильевка	42	Казахстан	DigiCipher-II	DSR 402	000-03086-21954-230	070-74740-51000-580	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
31	Акмолинская ОДРТ:	Сандыктауский	Васильевка	7	Хабар	DigiCipher-II	DSR-800	000-03189-59325-048	034-50892-28000-368	Основной 	ПРМ ТРК				нет			
32	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Веденовка	11	Евразия	DigiCipher-II	DSR-4400	000-03137-99232-163	025-40781-63006-701	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."			нет			
33	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Веденовка	7	Казахстан	DigiCipher-II	DSR401	000-03427-01490-155	061-54413-33004-390	Основной 	ПРМ АО "Казтелерадио"			"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
34	Акмолинская ОДРТ:	Зерендинский	Викторовка	29	Казахстан	DigiCipher-II	DSR205K	000-03454-52823-141	201-94762-02002-814	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
35	Акмолинская ОДРТ:	Зерендинский	Викторовка	1	Хабар	DigiCipher-II	DSR205K	000-03454-59465-026	201-94762-35012-040	Основной 	ПРМ АО "Казтелерадио"				нет			
36	Акмолинская ОДРТ:	Буландинский	Вознесенка	5	Казахстан	DigiCipher-II	DSR 402	000-03086-21732-212	070-74740-51013-542	Основной 	ПРМ АО "Казтелерадио"	"офсетная d 1,2 м"		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
37	Акмолинская ОДРТ:	Буландинский	Вознесенка	3	Хабар	DigiCipher-II	DSR 402	000-03086-21675-249	070-74740-51011-388	Основной 	ПРМ ТРК				нет			
38	Акмолинская ОДРТ:	Жаркаинский	Державинск	22	Евразия	DigiCipher-II	DSR205K	000-03454-56907-043	201-94762-34009-492	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная d - 2,8м."	"офсетная d 1,2 м"		нет			
39	Акмолинская ОДРТ:	Жаркаинский	Державинск	6	24Kz	DigiCipher-II	DSR 402	000-03086-22919-039	070-74740-51014-655	Основной 	ПРМ АО "Казтелерадио"				нет			
40	Акмолинская ОДРТ:	Жаркаинский	Державинск	3	Казахстан	DigiCipher-II	DSR-4400	000-03137-28531-235	025-40171-58000-072	Основной 	ПРМ АО "Казтелерадио"				нет			
41	Акмолинская ОДРТ:	Жаркаинский	Державинск	"100,3"	КазРВ	DigiCipher-II	DSR205K	000-03454-58680-252	201-94762-34004-848	Основной 	ПРМ АО "Казтелерадио"				нет			
42	Акмолинская ОДРТ:	Жаркаинский	Державинск	8	Хабар	DigiCipher-II	DSR205K	000-03454-57963-023	201-94762-35012-163	Основной 	ПРМ ТРК				нет			
43	Акмолинская ОДРТ:	Жаркаинский	Державинск	55	ОТРК(ОБЛТВ)	DVB-S2	 S2400ND	25859797364	KC7F3001951 (ID 25859797364)	Основной 	ПРМ АО "Казтелерадио"			принадлежность ПРМ ОТРК	нет			
44	Акмолинская ОДРТ:	Жаркаинский	Державинск			DigiCipher-II	DSR205K	000-03454-53401-028	201-94762-29008-837	резерв					нет			
45	Акмолинская ОДРТ:	Жаркаинский	Державинск			DigiCipher-II	DSR205K	000-03454-57228-046	201-94762-34015-134	резерв	ПРМ АО "Казтелерадио"				нет			
46	Акмолинская ОДРТ:	Буландинский	Добровольное	23	Казахстан	DigiCipher-II	DSR205K	000-03454-53012-120	201-94762-02004-047	Основной 	ПРМ АО "Казтелерадио"	"офсетная d 1,2 м"		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
47	Акмолинская ОДРТ:	Буландинский	Добровольное	21	Хабар	DigiCipher-II	DSR205K	000-03454-52610-059	201-94762-02001-954	Основной 	ПРМ АО "Казтелерадио"				нет			
48	Акмолинская ОДРТ:	Жаксынский	Донское 	26	Казахстан	DigiCipher-II	DSR205K	000-03454-52715-030	201-94762-02001-732	Основной 	ПРМ АО "Казтелерадио"	"офсетная d 1,2 м"		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
49	Акмолинская ОДРТ:	Жаксынский	Донское 	24	Хабар	DigiCipher-II	DSR205K	000-03454-52606-125	201-94762-02002-050	Основной 	ПРМ ТРК				нет			
50	Акмолинская ОДРТ:	Сандыктауский	Дорогинка	24	Казахстан	DigiCipher-II	DSR205K	000-03454-52990-096	201-94762-02003-279	Основной 	ПРМ АО "Казтелерадио"	"офсетная d 1,2 м"		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
51	Акмолинская ОДРТ:	Сандыктауский	Дорогинка	22	Хабар	DigiCipher-II	DSR205K	000-03454-52570-216	201-94762-02002-678	Основной 	ПРМ АО "Казтелерадио"				нет			
52	Акмолинская ОДРТ:	Есильский	Ейский	51	Казахстан	DigiCipher-II	DSR205K	000-03454-59469-219	201-94762-35009-149	Основной 	ПРМ АО "Казтелерадио"	"офсетная d 1,2 м"		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
53	Акмолинская ОДРТ:	Есильский	Ейский	49	Хабар	DigiCipher-II	DSR205K	000-03454-59467-183	201-94762-35002-935	Основной 	ПРМ АО "Казтелерадио"				нет			
54	Акмолинская ОДРТ:	Енбекшильдерский	Енбекшильдерский	1	Евразия	DigiCipher-II	DSR-4400	000-03137-98953-183	025-40781-63000-341	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная d - 2,8м."			нет			
55	Акмолинская ОДРТ:	Енбекшильдерский	Енбекшильдерский	7	Казахстан	DigiCipher-II	DSR-4400	000-03137-39280-136	025-40171-93000-600	Основной 	ПРМ АО "Казтелерадио"			"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
56	Акмолинская ОДРТ:	Енбекшильдерский	Енбекшильдерский	33	Хабар	DigiCipher-II	DSR205K	000-03454-52605-075	201-94762-02002-029	Основной 	ПРМ АО "Казтелерадио"				нет			
57	Акмолинская ОДРТ:	Буландинский	Ерголка(Токтамыс)	29	Казахстан	DigiCipher-II	DSR 402	000-03086-21980-161	070-74740-51013-559	Основной 	ПРМ АО "Казтелерадио"	"офсетная d 1,2 м"		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
58	Акмолинская ОДРТ:	Буландинский	Ерголка(Токтамыс)	24	Хабар	DigiCipher-II	DSR 402	000-03086-23535-093	070-74740-54004-974	Основной 	ПРМ АО "Казтелерадио"				нет			
59	Акмолинская ОДРТ:	Есильский	Есиль	"102,6"	КазРВ	DigiCipher-II	DSR205K	000-03454-59967-129	201-94762-35009-835	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная d - 2,8м."	"прямофокусная d-2,5м"		нет			
60	Акмолинская ОДРТ:	Есильский	Есиль	12	Хабар	DigiCipher-II	DSR205K	000-03454-57961-186	201-94762-35008-036	Основной 	ПРМ АО "Казтелерадио"				нет			
61	Акмолинская ОДРТ:	Есильский	Есиль	32	Евразия	DigiCipher-II	DSR205K	000-03454-57877-225	201-94762-35001-273	Основной 	ПРМ АО "Казтелерадио"				нет			
62	Акмолинская ОДРТ:	Есильский	Есиль	37	24Kz	DigiCipher-II	DSR-4400	000-03137-28752-122	025-40171-89000-218	Основной 	ПРМ ТРК				нет			
63	Акмолинская ОДРТ:	Есильский	Есиль	5	Казахстан	DigiCipher-II	DSR205K	000-03454-55967-180	201-94762-29027-951	Основной 	ПРМ АО "Казтелерадио"				нет			
64	Акмолинская ОДРТ:	Есильский	Есиль	57	ОТРК(ОБЛТВ)	DVB-S2	 S2400ND	25859778901	KC7F3001952 (ID 25859778901)	Основной 	ПРМ АО "Казтелерадио"				нет			
65	Акмолинская ОДРТ:	Есильский	Есиль			DigiCipher-II	DSR205K	000-03454-56655-252	201-94762-34005-852	резерв	ПРМ ТРК				нет			
66	Акмолинская ОДРТ:	Есильский	Есиль			DigiCipher-II	DSR205K	000-03454-57659-146	201-94762-35005-103	резерв	ПРМ АО "Казтелерадио"				нет			
67	Акмолинская ОДРТ:	Жаксынский	Жаксы	21	Евразия	DigiCipher-II	DSR-4400	000-03137-28717-111	025-40171-83001-105	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная d - 2,8м."			нет			
68	Акмолинская ОДРТ:	Жаксынский	Жаксы	10	Казахстан	DigiCipher-II	DSR-4400	000-03137-28664-207	025-40171-83000-429	Основной 	ПРМ АО "Казтелерадио"				нет			
69	Акмолинская ОДРТ:	Жаксынский	Жаксы	42	ОТРК(ОБЛТВ)	DVB-S2	 S2400ND	25859802768	KC7F3002087 (ID 25859802768)	Основной 	ПРМ АО "Казтелерадио"				нет			
70	Акмолинская ОДРТ:	Жаксынский	Жаксы	2	Хабар	DigiCipher-II	DSR205K	000-03454-57831-210	201-94762-35009-255	Основной 	ПРМ АО "Казтелерадио"				нет			
71	Акмолинская ОДРТ:	Буландинский	Журавлевка	26	Казахстан	DigiCipher-II	DSR 402	000-03086-23371-243	070-74740-54002-802	Основной 	ПРМ АО "Казтелерадио"	"офсетная, d 0,9 м."		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
72	Акмолинская ОДРТ:	Буландинский	Журавлевка	2	Хабар	DigiCipher-II	DSR-4400	000-03137-99407-034	025-40781-63005-223	Основной 	ПРМ ТРК				нет			
73	Акмолинская ОДРТ:	Енбекшильдерский	Заозерное	9	Евразия	DigiCipher-II	DSR-4400	000-03137-28860-219	025-40171-88000-042	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная d - 2,8м."			нет			
74	Акмолинская ОДРТ:	Енбекшильдерский	Заозерное	10	Казахстан	DigiCipher-II	DSR-4400	000-03137-98960-007	025-40781-63000-020	Основной 	ПРМ АО "Казтелерадио"			"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
75	Акмолинская ОДРТ:	Есильский	Заречное 	6	Хабар	DigiCipher-II	DSR401	000-03427-03758-159	061-54420-10006-003	Основной 	ПРМ АО "Казтелерадио"	"офсетная, d -1,8м."			нет			
76	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Зеленый Бор	2	Евразия	DigiCipher-II	DSR205K	000-03454-57440-076	201-94762-35002-225	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."			нет			
77	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Зеленый Бор	3	Хабар	DigiCipher-II	DSR 402	000-03086-23582-088	070-74740-54006-251	Основной 	ПРМ АО "Казтелерадио"				нет			
	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Зеленый Бор		1MUX	DVB-S2	ProView 7100   			Основной 		"офсетная, d 2,4 м."	"офсетная, d 2,4 м."					
	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Зеленый Бор		1MUX	DVB S2	ProView 7100   			резерв								
78	Акмолинская ОДРТ:	Зерендинский	Зеренда    	12	Хабар	DigiCipher-II	DSR205K	000-03454-59469-030	201-94762-29008-950	Основной 	ПРМ АО "Казтелерадио"	Прямофокусная d -1.5 м			нет			
79	Акмолинская ОДРТ:	Ерейментауский	Изобильное	12	Казахстан	DigiCipher-II	DSR205K	000-03454-58769-195		Основной 	ПРМ АО "Казтелерадио"	"офсетная, d 0,9 м."		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
80	Акмолинская ОДРТ:	Ерейментауский	Изобильное	6	Хабар	DigiCipher-II	DSR205K	000-03454-56525-196	201-94762-34000-673	Основной 	ПРМ ТРК				нет			
81	Акмолинская ОДРТ:	Зерендинский	Исаковка	5	Казахстан	DigiCipher-II	DSR-4400	000-03137-39489-134	025-40171-90000-146	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
82	Акмолинская ОДРТ:	Зерендинский	Исаковка	12	Хабар	DigiCipher-II	DSR-4400	000-03137-98982-245	025-40781-64000-401	Основной 	ПРМ АО "Казтелерадио"				нет			
83	Акмолинская ОДРТ:	Зерендинский	Исаковка	7	Евразия	DigiCipher-II	DSR205K	000-03454-56904-029	201-94762-34003-681	Основной 	ПРМ АО "Казтелерадио"				нет			
84	Акмолинская ОДРТ:	Жаксынский	Ишимское	7	Евразия	DigiCipher-II	DSR-4400	000-03137-99405-143	025-40781-63006-541	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."			нет			
85	Акмолинская ОДРТ:	Жаксынский	Ишимское	11	Казахстан	DigiCipher-II	DSR-4400	000-03137-98986-045	025-40781-63000-440	Основной 	ПРМ АО "Казтелерадио"			"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
86	Акмолинская ОДРТ:	Жаксынский	Ишимское	4	Хабар	DigiCipher-II	DSR205K	000-03454-56658-141	201-94762-34006-323	Основной 	ПРМ ТРК				нет			
87	Акмолинская ОДРТ:	Жаксынский	Калининское	6	Евразия	DigiCipher-II	DSR-4400	000-03137-28819-153	025-40171-88000-295	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."			нет			
88	Акмолинская ОДРТ:	Жаксынский	Калининское	34	Казахстан	DigiCipher-II	DSR 402	000-03086-20562-246	070-44740-51000-368	Основной 	ПРМ АО "Казтелерадио"			"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
89	Акмолинская ОДРТ:	Сандыктауский	Каменка 	31	Хабар	DigiCipher-II	DSR205K	000-03454-59900-127	201-94762-35010-176	Основной 	ПРМ ТРК	"офсетная d 1,2 м"			нет			
90	Акмолинская ОДРТ:	Буландинский	Капитоновка	5	Казахстан	DigiCipher-II	DSR205K	000-03454-58867-201	201-94762-34011-532	Основной 	ПРМ АО "Казтелерадио"	"офсетная, d 0,9 м."		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
91	Акмолинская ОДРТ:	Буландинский	Карамышевка(Шубарагаш)	21	Казахстан	DigiCipher-II	DSR 402	000-03086-21742-096	070-74740-51012-248	Основной 	ПРМ АО "Казтелерадио"	"офсетная d 1,2 м"		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
92	Акмолинская ОДРТ:	Буландинский	Карамышевка(Шубарагаш)	28	Хабар	DigiCipher-II	DSR 402	000-03086-22643-066	070-74740-51017-120	Основной 	ПРМ АО "Казтелерадио"				нет			
93	Акмолинская ОДРТ:	Бурабайский (Щучинский)	Катарколь	3	Казахстан	DigiCipher-II	DSR205K	000-03454-56139-181	201-94762-29020-624	Основной 	ПРМ АО "Казтелерадио"	"офсетная, d 0,9 м."		"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
94	Акмолинская ОДРТ:	Жаксынский	Кийма	6	Евразия	DigiCipher-II	DSR401	000-03427-00463-178	061-54413-23005-321	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная ""Москва"", d 2,5м."			нет			
95	Акмолинская ОДРТ:	Жаксынский	Кийма	9	Казахстан	DigiCipher-II	DSR-4400	000-03137-39711-031	025-40171-91001-111	Основной 	ПРМ АО "Казтелерадио"			"1 час вещание обл.ТВ на канале Каз.ТВ кроме субб., воскр.  и праздн. дней (17.50-18.50). "	нет			
96	Акмолинская ОДРТ:	Жаксынский	Кийма	12	Хабар	DigiCipher-II	DSR-4400	000-03137-28534-177	025-40171-58000-371	Основной 	ПРМ АО "Казтелерадио"				нет			
97	Акмолинская ОДРТ:	Жаксынский	Кийма			DigiCipher-II	DSR205K	000-03454-58125-220	201-94762-35015-157	резерв	ПРМ АО "Казтелерадио"				нет			
98	Акмолинская ОДРТ:	Обл. центр	Кокшетау	36	Астана ТВ	DVB-S2	 S2400ND	25894620183	КС7Н1006407	Основной 	ПРМ АО "Казтелерадио"	"прямофокусная d-3,5м."	"прямофокусная, d - 2,8м."		нет			
99	Акмолинская ОДРТ:	Обл. центр	Кокшетау	36	Астана ТВ	DVB-S2	Harmonic IRD2600		49252	резерв	ПРМ АО "Казтелерадио"				нет			
100	Акмолинская ОДРТ:	Обл. центр	Кокшетау	11	Евразия	DigiCipher-II	DSR-4400	000-03137-98976-153	025-40781-62000-984	Основной 	ПРМ АО "Казтелерадио"				да			
101	Акмолинская ОДРТ:	Обл. центр	Кокшетау	"104,2"	"""Ретро FM""(Европа+)"	DVB-S2	Harmonic IRD-2900 		461974	Основной 	ПРМ ТРК				нет			
102	Акмолинская ОДРТ:	Обл. центр	Кокшетау	23	24Kz	DigiCipher-II	DSR205K	000-03454-60012-080	201-94762-35012-149	Основной 	ПРМ АО "Казтелерадио"				нет			
103	Акмолинская ОДРТ:	Обл. центр	Кокшетау	101	КазРВ	DigiCipher-II	DSR401	000-03427-03802-008	061-54420-12000-078	Основной 	ПРМ АО "Казтелерадио"				да			
104	Акмолинская ОДРТ:	Обл. центр	Кокшетау	5	КТК	DVB-S2	 S2400ND	25853380381	КС7EC004806 (ID25853380381)	Основной 	ПРМ ТРК				нет			
105	Акмолинская ОДРТ:	Обл. центр	Кокшетау	5	КТК	DVB-S2	 S2400ND	25853351648	КС7EC004808 (ID25853351648)	резерв	ПРМ АО "Казтелерадио"				нет			
106	Акмолинская ОДРТ:	Обл. центр	Кокшетау	33	НТК	DVB-S2	 S2400ND	25853380142	КС7EC004793 (ID25853380142)	Основной 	ПРМ АО "Казтелерадио"				нет			
107	Акмолинская ОДРТ:	Обл. центр	Кокшетау	33	НТК	DVB-S2	 S2400ND	25853380316	КС7EC004795 (ID25853380316)	резерв	ПРМ АО "Казтелерадио"				нет			
108	Акмолинская ОДРТ:	Обл. центр	Кокшетау	3	ОТРК(ОБЛТВ)	DVB-S2	 S2400ND	25859804335	КС7F3002084 (ID25859804335)	Основной 					нет			
109	Акмолинская ОДРТ:	Обл. центр	Кокшетау	38	ПолонияТВ	DVB-S2	Tandberg TT-1222		5738	Основной 	ПРМ АО "Казтелерадио"				нет			
110	Акмолинская ОДРТ:	Обл. центр	Кокшетау	"105,7"	Радио NS	DVB-S2	S2400ND	25848636004	HC7EB000182	Основной 	ПРМ ТРК				нет			
111	Акмолинская ОДРТ:	Обл. центр	Кокшетау	"105,7"	Радио NS	DVB-S2	S2400ND	25849022311	НС7ЕВ000183	резерв	ПРМ АО "Казтелерадио"				нет			
112	Акмолинская ОДРТ:	Обл. центр	Кокшетау	102	Русс.Радио	DVB-S2	Harmonic IRD-2900 	000-03137-28934-250	025-40171-88001-209	Основной 	ПРМ АО "Казтелерадио"				нет			
113	Акмолинская ОДРТ:	Обл. центр	Кокшетау	9	Хабар	DigiCipher-II	DSR-4400	000-03137-39596-188	025-40171-90000-481	Основной 	ПРМ АО "Казтелерадио"				да			
114	Акмолинская ОДРТ:	Обл. центр	Кокшетау	"103,7"	Шалкар	DigiCipher-II	DSR-4400	000-03137-39480-082	025-40171-90000-160	Основной 	ПРМ АО "Казтелерадио"				да			
115	Акмолинская ОДРТ:	Обл. центр	Кокшетау	6	Казахстан	DigiCipher-II	DSR-4400	000-03137-28716-244	025-40171-83000-993	Основной 	ПРМ ТРК				да			
116	Акмолинская ОДРТ:	Обл. центр	Кокшетау	"107,6"	Тенгри FM	DigiCipher-II	DSR205K	000-03454-56908-220	201-94762-34010-702	Основной 	ПРМ АО "Казтелерадио"				нет			
